make,model,fuel,kms,power,shift,price,location,codigopostalid,provincia,poblacion
Opel,Corsa,Gasolina,48627.0,100.0,manual,15990,Málaga,29005,Málaga,Málaga
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Almería,4006,Almería,Almería
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Valencia,46001,Valencia,Valencia
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Málaga,29005,Málaga,Málaga
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Vigo,36211,Pontevedra,Vigo
KIA,Carens,Gasolina,82008.0,135.0,manual,14145,Atarrabia,31610,Navarra,Atarrabia
Chevrolet,Cruze,Diésel,147168.0,163.0,manual,6990,Leioa,48940,Bizkaia,Leioa
Opel,Corsa,Diésel,155992.0,95.0,manual,6980,Murcia,30005,Murcia,Murcia
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Almería,4006,Almería,Almería
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Vigo,36211,Pontevedra,Vigo
Opel,Corsa,Gasolina,80359.0,90.0,manual,10990,Granada,18005,Granada,Granada
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Skoda,Octavia,Diésel,176460.0,150.0,manual,15500,Mataró,8302,Barcelona,Mataró
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Chevrolet,Matiz,Gasolina,89000.0,65.0,manual,4900,Mataró,8302,Barcelona,Mataró
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Santiago de Compostela,15703,A Coruña,Santiago de Compostela
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Mercado Parque Corredor del Henares,28850,Madrid,Mercado Parque Corredor del Henares
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Ciudad Real,13003,Ciudad Real,Ciudad Real
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Estepona,29680,Málaga,Estepona
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Mercado Parque Corredor del Henares,28850,Madrid,Mercado Parque Corredor del Henares
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Ciudad Real,13003,Ciudad Real,Ciudad Real
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Estepona,29680,Málaga,Estepona
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Mercado Parque Corredor del Henares,28850,Madrid,Mercado Parque Corredor del Henares
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Sant Vicenç de Montalt,8394,Barcelona,Sant Vicenç de Montalt
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Valdepeñas,13300,Ciudad Real,Valdepeñas
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Ciudad Real,13003,Ciudad Real,Ciudad Real
Opel,Mokka,Gasolina,121563.0,140.0,manual,12535,Estepona,29680,Málaga,Estepona
Opel,Mokka,Diésel,110530.0,130.0,manual,11950,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Sant Vicenç de Montalt,8394,Barcelona,Sant Vicenç de Montalt
Opel,Mokka,Diésel,111730.0,136.0,manual,12535,Santa Maria del Aguila,4710,Almería,Santa Maria del Aguila
